trip_nb,local_dtm,latitude,longitude
1,19MAY17:07:40:47,40.06068,-83.075081
1,19MAY17:07:40:48,40.060783,-83.075073
1,19MAY17:07:40:49,40.060917,-83.075073
1,19MAY17:07:40:50,40.06105,-83.075066
1,19MAY17:07:40:51,40.061176,-83.075058
1,19MAY17:07:40:52,40.061302,-83.07505
1,19MAY17:07:40:53,40.061424,-83.075027
1,19MAY17:07:40:54,40.061581,-83.07505
1,19MAY17:07:40:55,40.061726,-83.075043
1,19MAY17:07:40:56,40.061852,-83.075035
1,19MAY17:07:40:57,40.061989,-83.075035
1,19MAY17:07:40:58,40.062134,-83.075012
1,19MAY17:07:40:59,40.062286,-83.075012
1,19MAY17:07:41:00,40.06242,-83.075005
1,19MAY17:07:41:01,40.062572,-83.075012
1,19MAY17:07:41:02,40.062851,-83.075005
1,19MAY17:07:41:03,40.063,-83.075005
1,19MAY17:07:41:04,40.06316,-83.075043
1,19MAY17:07:41:06,40.063313,-83.075089
1,19MAY17:07:41:07,40.06348,-83.075104
1,19MAY17:07:41:08,40.063728,-83.075188
1,19MAY17:07:41:09,40.063858,-83.07518
1,19MAY17:07:41:10,40.064102,-83.075256
1,19MAY17:07:41:11,40.06427,-83.075272
1,19MAY17:07:41:12,40.064396,-83.075294
1,19MAY17:07:41:13,40.064476,-83.075333
1,19MAY17:07:41:14,40.064705,-83.075432
1,19MAY17:07:41:15,40.064777,-83.07534
1,19MAY17:07:41:16,40.064781,-83.075249
1,19MAY17:07:41:18,40.064735,-83.075226
1,19MAY17:07:41:19,40.064857,-83.075226
1,19MAY17:07:41:20,40.064812,-83.075188
1,19MAY17:07:41:21,40.064571,-83.075264
1,19MAY17:07:41:22,40.064556,-83.075325
1,19MAY17:07:41:23,40.064564,-83.075356
1,19MAY17:07:41:24,40.064541,-83.075401
1,19MAY17:07:41:25,40.064522,-83.075577
1,19MAY17:07:41:26,40.064533,-83.075752
1,19MAY17:07:41:27,40.06456,-83.075905
1,19MAY17:07:41:28,40.064484,-83.076149
1,19MAY17:07:41:29,40.06448,-83.076309
1,19MAY17:07:41:30,40.064491,-83.076485
1,19MAY17:07:41:31,40.064476,-83.076698
1,19MAY17:07:41:32,40.064476,-83.077187
1,19MAY17:07:41:33,40.064461,-83.077454
1,19MAY17:07:41:34,40.064472,-83.07769
1,19MAY17:07:41:36,40.064442,-83.077911
1,19MAY17:07:41:37,40.064442,-83.07814
1,19MAY17:07:41:38,40.064449,-83.078362
1,19MAY17:07:41:39,40.064465,-83.07859
1,19MAY17:07:41:40,6.620114,3.587174
1,19MAY17:07:41:41,6.620117,3.587173
1,19MAY17:07:41:42,6.620116,3.587172
1,19MAY17:07:41:43,6.620114,3.587175
1,19MAY17:07:41:44,40.064507,-83.079872
1,19MAY17:07:41:45,40.064522,-83.080093
1,19MAY17:07:41:46,40.064526,-83.080315
1,19MAY17:07:41:49,40.064587,-83.080711
1,19MAY17:07:41:51,40.064518,-83.081154
1,19MAY17:07:41:52,40.064556,-83.081337
1,19MAY17:07:41:53,40.06461,-83.081551
1,19MAY17:07:41:54,40.064606,-83.081726
1,19MAY17:07:41:55,40.06461,-83.081924
1,19MAY17:07:41:56,40.064602,-83.082161
1,19MAY17:07:41:57,40.064621,-83.082375
1,19MAY17:07:41:58,40.064629,-83.082588
1,19MAY17:07:41:59,40.064636,-83.082802
1,19MAY17:07:42:00,40.064644,-83.083008
1,19MAY17:07:42:01,40.064651,-83.083382
1,19MAY17:07:42:03,40.064644,-83.083588
1,19MAY17:07:42:04,40.064651,-83.083717
1,19MAY17:07:42:05,40.064644,-83.0839
1,19MAY17:07:42:06,40.064655,-83.083977
1,19MAY17:07:42:07,40.064674,-83.084076
1,19MAY17:07:42:08,40.064732,-83.084152
1,19MAY17:07:42:09,40.064705,-83.084213
1,19MAY17:07:42:10,40.064713,-83.084221
1,19MAY17:07:42:11,40.064697,-83.084297
1,19MAY17:07:42:12,40.064682,-83.084312
1,19MAY17:07:42:14,40.064705,-83.084244
1,19MAY17:07:42:15,40.064732,-83.084183
1,19MAY17:07:42:16,40.064716,-83.084213
1,19MAY17:07:42:17,40.06472,-83.084221
1,19MAY17:07:42:18,40.064713,-83.084236
1,19MAY17:07:42:19,40.064709,-83.084251
1,19MAY17:07:42:20,40.064709,-83.084259
1,19MAY17:07:42:21,40.064713,-83.084259
1,19MAY17:07:42:22,40.064709,-83.084259
1,19MAY17:07:42:23,40.06472,-83.084267
1,19MAY17:07:42:24,40.06472,-83.084259
1,19MAY17:07:42:26,40.06472,-83.084267
1,19MAY17:07:42:27,40.064713,-83.084274
1,19MAY17:07:42:28,40.064713,-83.084274
1,19MAY17:07:42:29,40.064713,-83.084282
1,19MAY17:07:42:30,40.064713,-83.084274
1,19MAY17:07:42:31,40.06472,-83.084267
1,19MAY17:07:42:32,40.06472,-83.084259
1,19MAY17:07:42:34,40.06472,-83.084251
1,19MAY17:07:42:35,40.06472,-83.084251
1,19MAY17:07:42:36,40.06472,-83.084259
1,19MAY17:07:42:37,40.06472,-83.084259
1,19MAY17:07:42:38,40.064716,-83.084267
1,19MAY17:07:42:40,40.064716,-83.084267
1,19MAY17:07:42:41,40.064716,-83.084267
1,19MAY17:07:42:42,40.064716,-83.084267
1,19MAY17:07:42:43,40.064716,-83.084267
1,19MAY17:07:42:44,40.064716,-83.084267
1,19MAY17:07:42:45,40.064693,-83.084297
1,19MAY17:07:42:46,40.064659,-83.084343
1,19MAY17:07:42:48,40.06464,-83.084373
1,19MAY17:07:42:49,40.064594,-83.084366
1,19MAY17:07:42:50,40.064526,-83.084396
1,19MAY17:07:42:51,40.064461,-83.084373
1,19MAY17:07:42:52,40.064365,-83.084396
1,19MAY17:07:42:53,40.064278,-83.084442
1,19MAY17:07:42:54,40.06419,-83.08445
1,19MAY17:07:42:56,40.064091,-83.08445
1,19MAY17:07:42:57,40.064011,-83.084465
1,19MAY17:07:42:58,40.063942,-83.084496
1,19MAY17:07:42:59,40.063877,-83.084465
1,19MAY17:07:43:00,40.063816,-83.084488
1,19MAY17:07:43:01,40.063751,-83.08445
1,19MAY17:07:43:02,40.063618,-83.084373
1,19MAY17:07:43:03,40.063553,-83.084358
1,19MAY17:07:43:05,40.063465,-83.084297
1,19MAY17:07:43:07,40.063465,-83.084251
1,19MAY17:07:43:09,40.063461,-83.084198
1,19MAY17:07:43:11,40.063465,-83.08419
1,19MAY17:07:43:12,40.063473,-83.084183
1,19MAY17:07:43:13,40.063477,-83.084175
1,19MAY17:07:43:15,40.063526,-83.084198
1,19MAY17:07:43:16,40.063522,-83.08419
1,19MAY17:07:43:17,40.063511,-83.084198
1,19MAY17:07:43:18,40.063492,-83.084213
1,19MAY17:07:43:19,40.063477,-83.084229
1,19MAY17:07:43:21,40.063484,-83.084229
1,19MAY17:07:43:22,40.063519,-83.084236
1,19MAY17:07:43:23,40.063526,-83.084236
1,19MAY17:07:43:24,40.063519,-83.084229
1,19MAY17:07:43:25,40.063488,-83.084229
1,19MAY17:07:43:27,40.063484,-83.084236
1,19MAY17:07:43:29,40.063488,-83.084244
1,19MAY17:07:43:31,40.063488,-83.084244
1,19MAY17:07:43:33,40.063492,-83.084244
1,19MAY17:07:43:35,40.063492,-83.084244
1,19MAY17:07:43:38,40.063492,-83.084244
1,19MAY17:07:43:39,40.063492,-83.084244
1,19MAY17:07:43:40,40.063492,-83.084244
1,19MAY17:07:43:41,40.063492,-83.084244
1,19MAY17:07:43:42,40.063492,-83.084244
1,19MAY17:07:43:43,40.063492,-83.084244
1,19MAY17:07:43:44,40.063488,-83.084244
1,19MAY17:07:43:46,40.063488,-83.084236
1,19MAY17:07:43:47,40.063488,-83.084236
1,19MAY17:07:43:48,40.063488,-83.084236
1,19MAY17:07:43:49,40.063484,-83.084236
1,19MAY17:07:43:51,40.063484,-83.084236
1,19MAY17:07:43:52,40.063484,-83.084236
1,19MAY17:07:43:54,40.063484,-83.084236
1,19MAY17:07:43:55,40.063484,-83.084236
1,19MAY17:07:43:56,40.063484,-83.084236
1,19MAY17:07:43:57,40.063484,-83.084236
1,19MAY17:07:43:58,40.063484,-83.084236
1,19MAY17:07:43:59,40.063484,-83.084236
1,19MAY17:07:44:00,40.06348,-83.084251
1,19MAY17:07:44:01,40.06348,-83.084267
1,19MAY17:07:44:02,40.063484,-83.084274
1,19MAY17:07:44:04,40.063492,-83.084312
1,19MAY17:07:44:05,40.063492,-83.084328
1,19MAY17:07:44:06,40.063488,-83.084351
1,19MAY17:07:44:07,40.06348,-83.084389
1,19MAY17:07:44:08,40.06348,-83.084442
1,19MAY17:07:44:09,40.063484,-83.084465
1,19MAY17:07:44:10,40.063484,-83.084488
1,19MAY17:07:44:12,40.063492,-83.084503
1,19MAY17:07:44:14,40.063496,-83.084541
1,19MAY17:07:44:15,40.063496,-83.084564
1,19MAY17:07:44:16,40.063496,-83.084579
1,19MAY17:07:44:18,40.063484,-83.084663
1,19MAY17:07:44:19,40.06348,-83.084709
1,19MAY17:07:44:20,40.06348,-83.084732
1,19MAY17:07:44:21,40.063477,-83.084747
1,19MAY17:07:44:22,40.063469,-83.084747
1,19MAY17:07:44:23,40.063454,-83.084747
1,19MAY17:07:44:24,40.063431,-83.084732
1,19MAY17:07:44:25,40.063416,-83.08474
1,19MAY17:07:44:26,40.0634,-83.084755
1,19MAY17:07:44:28,40.063396,-83.084763
1,19MAY17:07:44:29,40.063396,-83.084763
1,19MAY17:07:44:30,40.0634,-83.08477
1,19MAY17:07:44:31,40.063412,-83.08477
1,19MAY17:07:44:32,40.063423,-83.084778
1,19MAY17:07:44:33,40.063435,-83.084801
1,19MAY17:07:44:34,40.063446,-83.084816
